Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""2s2.2p6""","=""1S""","=""0""","=""""","=""0.00000""","=""""","=""0.00025""","=""                                                ""","=""L13237"""
"=""2s2.2p5.3s""","=""3P*""","=""2""","=""""","=""32.846429""","=""""","=""0.000012""","="" 100     or  :   100  2p5.(2P*<3/2>).3s 2[3/2]* ""","="""""
"=""2s2.2p5.3s""","=""3P*""","=""1""","=""""","=""32.941315""","=""""","=""0.000012""","=""  96     or  :    55  2p5.(2P*<3/2>).3s 2[3/2]* ""","="""""
"=""2s2.2p5.3s""","=""3P*""","=""0""","=""""","=""33.014713""","=""""","=""0.000012""","="" 100     or  :   100  2p5.(2P*<1/2>).3s 2[1/2]* ""","="""""
"=""2s2.2p5.3s""","=""1P*""","=""1""","=""""","=""33.322360""","=""""","=""0.000012""","=""  96     or  :    55  2p5.(2P*<1/2>).3s 2[1/2]* ""","="""""
"=""2s2.2p5.3p""","=""3S""","=""1""","=""""","=""36.354688""","=""""","=""0.000012""","=""  99     or  :    75  2p5.(2P*<3/2>).3p 2[1/2]  ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""3""","=""""","=""36.854157""","=""""","=""0.000012""","="" 100     or  :   100  2p5.(2P*<3/2>).3p 2[5/2]  ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""2""","=""""","=""36.902113""","=""""","=""0.000012""","=""  88     or  :    70  2p5.(2P*<3/2>).3p 2[5/2]  ""","="""""
"=""2s2.2p5.3p""","=""3D""","=""1""","=""""","=""36.967803""","=""""","=""0.000012""","=""  91     or  :    56  2p5.(2P*<1/2>).3p 2[3/2]  ""","="""""
"=""2s2.2p5.3p""","=""1D""","=""2""","=""""","=""37.094827""","=""""","=""0.000012""","=""  65     or  :    61  2p5.(2P*<3/2>).3p 2[3/2]  ""","="""""
"=""2s2.2p5.3p""","=""1P""","=""1""","=""""","=""37.181047""","=""""","=""0.000012""","=""  60     or  :    56  2p5.(2P*<3/2>).3p 2[3/2]  ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""2""","=""""","=""37.208144""","=""""","=""0.000012""","=""  67     or  :    68  2p5.(2P*<1/2>).3p 2[3/2]  ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""0""","=""""","=""37.243343""","=""""","=""0.000012""","="" 100     or  :    60  2p5.(2P*<1/2>).3p 2[1/2]  ""","="""""
"=""2s2.2p5.3p""","=""3P""","=""1""","=""""","=""37.258133""","=""""","=""0.000012""","=""  66     or  :    75  2p5.(2P*<1/2>).3p 2[1/2]  ""","="""""
"=""2s2.2p5.3p""","=""1S""","=""0""","=""""","=""38.293859""","=""""","=""0.000012""","="" 100     or  :    60  2p5.(2P*<3/2>).3p 2[1/2]  ""","="""""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""0""","=""""","=""40.982896""","=""""","=""0.000012""","=""  97     or  :    97  2p5.3d            3P*     ""","="""""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[1/2]*""","=""1""","=""""","=""40.993732""","=""""","=""0.000012""","=""  74     or  :    89  2p5.3d            3P*     ""","="""""
"=""2s2.2p5.(2P*<3/2>).3d""","=""2[3/2]*""","=""2""","=""""","=""41.012615""","=""""","=""0.000012""","=""  56     or  :    61  2p5.3d            3P*     ""","="""""
