Configuration,Term,J,Prefix,Level (eV),Suffix,Uncertainty (eV),Leading percentages,Reference
"=""1s""","=""2S""","=""1/2""","=""""","=""0.00000000000000""","=""""","=""0.00000000000012""","="" 100                    ""","="""""
"=""2p""","=""2P*""","=""1/2""","=""""","=""10.19880615024""","=""""","=""0.00000000004""","="" 100                    ""","=""L15291"""
"=""2p""","=""2P*""","=""3/2""","=""""","=""10.19885151459""","=""""","=""0.00000000005""","="" 100                    ""","=""L15291"""
"=""2s""","=""2S""","=""1/2""","=""""","=""10.19881052514816""","=""""","=""0.00000000000012""","="" 100                    ""","=""L15291"""
"=""2""","=""""","=""""","=""""","=""10.1988358""","=""""","=""0.0000012""","="" 100                    ""","=""L15291"""
"=""3p""","=""2P*""","=""1/2""","=""""","=""12.0874936591""","=""""","=""0.0000000009""","="" 100                    ""","=""L15291"""
"=""3p""","=""2P*""","=""3/2""","=""""","=""12.0875071004""","=""""","=""0.0000000009""","="" 100                    ""","=""L15291"""
"=""3s""","=""2S""","=""1/2""","=""""","=""12.0874949611""","=""""","=""0.0000000009""","="" 100                    ""","=""L15291"""
"=""3""","=""""","=""""","=""""","=""12.0875052""","=""""","=""0.0000006""","="" 100                    ""","=""L15291"""
"=""3d""","=""2D""","=""3/2""","=""""","=""12.0875070783""","=""""","=""0.0000000025""","="" 100                    ""","=""L15291"""
"=""3d""","=""2D""","=""5/2""","=""""","=""12.0875115582""","=""""","=""0.0000000009""","="" 100                    ""","=""L15291"""
"=""4p""","=""2P*""","=""1/2""","=""""","=""12.74853244632""","=""""","=""0.00000000006""","="" 100                    ""","=""L15291"""
"=""4p""","=""2P*""","=""3/2""","=""""","=""12.74853811674""","=""""","=""0.00000000004""","="" 100                    ""","=""L15291"""
"=""4s""","=""2S""","=""1/2""","=""""","=""12.74853299663""","=""""","=""0.00000000004""","="" 100                    ""","=""L15291"""
"=""4d""","=""2D""","=""3/2""","=""""","=""12.7485381084""","=""""","=""0.0000000010""","="" 100                    ""","=""L15291"""
"=""4d""","=""2D""","=""5/2""","=""""","=""12.74853999753""","=""""","=""0.00000000010""","="" 100                    ""","=""L15291"""
"=""4""","=""""","=""""","=""""","=""12.7485393""","=""""","=""0.0000004""","="" 100                    ""","=""L15291"""
"=""4f""","=""2F*""","=""5/2""","=""""","=""12.748539998""","=""""","=""0.000000006""","="" 100                    ""","=""L15291"""
